source,target
20947040,16536012
20947040,1498076
20947040,17872862
20947040,204767
20947040,10016242
20947040,19654655
20166757,19262745
20166757,19416348
20166757,21533726
20166757,18955830
20166757,1360698
20166757,19108156
20166757,339011
20166757,16607822
20166757,7151442
20166757,16477792
20166757,11625832
20166757,15552112
20166757,7130232
20166757,24277119
20166757,16487812
20166757,21686664
20166757,1776274
20166757,11862932
20166757,18494105
20166757,7836842
20166757,17467312
20166757,405938
20166757,1578685
20166757,4126912
20166757,10178242
20166757,14649032
20166757,16062152
20166757,18616278
20166757,11077852
20166757,22197221
20166757,18361585
20166757,10016242
20166757,15297782
20166757,19654655
1507431,12847372
1507431,19194894
1507431,19728145
1507431,2556962
1507431,18642226
1507431,18955830
1507431,20181560
1507431,339011
1507431,1772099
1507431,1371991
1507431,24039540
1507431,929402
1507431,1187715
1507431,24803205
1507431,19708553
1507431,10426762
1507431,18665368
1507431,18314669
1507431,18297014
1507431,20384452
1507431,24431556
1507431,16062152
1507431,227528
1507431,18660552
1507431,7699922
1507431,1349592
1507431,22197221
1507431,1642477
1507431,18634990
1507431,18243826
1507431,1505523
1507431,24693747
1507431,18414590
1507431,23394559
1671273,3173762
1671273,1187715
1671273,16487812
1671273,1728035
1671273,7836842
1671273,18589616
1671273,17467312
1671273,405938
1671273,1360698
1671273,9376702
1671273,10178242
1671273,14649032
1671273,16607822
1671273,23353167
1671273,17872862
1671273,15552112
1671273,18361585
1671273,15297782
1671273,929402
1671273,18556157
18823274,1187715
18823274,13288852
18823274,5282132
18823274,16477792
18823274,15552112
18823274,18955830
18823274,7130232
18823274,7700282
17836142,710272
17836142,535553
17836142,1187715
17836142,18562307
17836142,16487812
17836142,18714758
17836142,1665418
17836142,19728145
17836142,19713173
17836142,11131552
17836142,788001
17836142,20186791
17836142,7836842
17836142,711599
17836142,18955830
17836142,9376702
17836142,18549438
17836142,339011
17836142,19049542
17836142,16062152
17836142,227528
17836142,18506072
17836142,21174496
17836142,19827046
17836142,20807142
17836142,526316
17836142,18243826
17836142,10016242
24039540,12847372
24039540,19728145
24039540,18425641
24039540,18955830
24039540,20181560
24039540,1526075
24039540,528705
24039540,1772099
24039540,24431556
24039540,21522768
24039540,1349592
24039540,11077852
24039540,22197221
24039540,526316
24039540,18243826
24039540,47094
24748157,18361585
24748157,1324203
24748157,24675279
24277119,1187715
24277119,18562307
24277119,227528
24277119,11375762
24277119,19713173
24277119,18616278
24277119,20269464
